value,persona_id
Я люблю сюрпризы.,85
У меня есть кошка.,86
Хорошая внешность.,87
люблю математику,88
У меня две собаки.,89
Играю в лотереи.,90
Я занимаюсь спортом,91
Люблю животных.,92
Я собираю швабры,93
я живу одна,94
Научу все успевать,95
Я парень.,96
Я живу в деревне.,97
Мои родители учителя,98
Я счастливый отец,99
Я люблю маму.,100
У меня 5 внуков.,101
Люблю острую пищу.,102
Часто сижу в инете,103
Я играю на гитаре.,104
Я люблю путешествовать.,105
у меня двое детей,106
У меня нет жены,107
У меня есть дочь и сын.,108
у меня семь братьев и сестер,109
Разведена,110
У меня трое детей.,111
Я знаю четыре языка.,112
Я женат. Жена беременна.,113
Люблю путешествовать.,114
у меня есть варан,115
У меня есть машина,116
У меня две собаки и кот,117
Я хожу в школу,118
Я люблю фильмы.,119
У меня двое детей.,120
У меня высшее образование,121
Работаю артисткой шоу-балета в клубе,122
Я хочу познакомится с девушкой,123
Я смотрю кино,124
Я люблю готовить.,125
Я нумизмат.,126
Я люблю забивать голы,127
Нахожусь в активном поиске.,128
я вышла замуж.,129
Люблю играть в футбол.,130
Я увлекаюсь,131
У меня есть хобби.,132
Я по натуре семьянин,133
Хожу по магазинам,134
У меня еврейские корни.,135
Я женат.,136
у меня красный нос,137
я замужем второй раз,138
У меня есть семья.,139
Я не замужем.,140
Я мечтаю выйти замуж,141
У меня 30 детей,142
Живу в общежитии,143
Живу я с братом.,144
Я люблю рисовать,145
мечтаю стать врачом,146
Не люблю свою работу.,147
Я люблю все новое.,148
Я доволен своей работой.,149
У меня нет мужа и детей,150
Люблю веселые компании.,151
У меня трое детей.,152
Мне 11 лет.,153
люблю готовить,154
я живу в Чехии,155
Люблю копаться в саду,156
Люблю походы.,157
В еде предпочитаю овощи в фрукты.,158
у меня есть гитара,159
У меня есть глобус.,160
Я была замужем.,161
У меня на пыль.,162
я работаю в порту,163
Я зубной техник.,164
я не умею готовить,165
езжу на погрузчике,166
Мои родители в разводе.,167
Я люблю СПА.,168
У меня есть дочь,169
У меня есть собака.,170
Я живу в квартире.,171
У меня трое детей.,172
Я хорошо готовлю.,173
Мои родители умерли,174
Я профессиональный актёр,175
Я амбидекстр.,176
У меня свой дом.,177
У меня двое детей,178
Подрабатываю сторожем,179
Я люблю Молдавию,180
У меня сын и дочка.,181
У меня есть кошка,182
Мой папа бизнесмен.,183
Увлекаюсь дайвингом.,184
Я ношу с собой нож.,185
могу сесть на шпагат,186
Учусь на программиста.,187
Я юморист.,188
Я обожаю рыбалку,189
Я много работаю.,190
Я люблю читать,191
Я архитектор.,192
Имею высшее образование,193
Мечтаю построить приют,194
Я люблю играть в компьютер,195
я не люблю читать,196
У меня есть жена.,197
люблю путешествия.,198
Открыла свой бизнес,199
Работаю в офисе,200
Я провожу весь день на работе.,201
У меня есть сестра.,202
Я хорошо учусь,203
У меня есть собаки,204
Закончила колледж 2 года назад.,205
Не нравятся злые люди .,206
живу в России.,207
Мы любим шить.,208
Я люблю мясо,209
У меня есть кот,210
Я умею плавать,211
Я много мечтаю и слушаю музыку.,212
У меня есть сестра.,213
Работаю сейчас в банке.,214
У меня есть котенок.,215
Я люблю читать,216
Часто путешествую.,217
У меня двое детей.,218
Я люблю рыбалку,219
У меня есть попугай,220
Я машинист,221
у меня есть жена и дети,222
Я вышиваю крестиком,223
Я не люблю алкоголь,224
у меня 3 детей,225
работаю в банке,226
У меня светлые волосы.,227
Я встречаюсь с парнем.,228
Хочу найти жену.,229
Я коллекционирую брелоки,230
Я вышла замуж.,231
У меня есть жена.,232
У меня двое детей.,233
У меня скоро свадьба,234
Я люблю общение.,235
Имею много нарядов,236
"Закончил ВУЗ,",237
Я люблю природу.,238
Я торгую на рынке.,239
служу в Забайкалье,240
Я много бухаю,241
Я сплю днём.,242
Я собираю паззлы.,243
Я собираюсь пойти гулять.,244
Люблю порядок.,245
у меня есть шиншилла,246
Я живу на халяву,247
Люблю джаз.,248
я люблю суши,249
У меня большая семья.,250
У меня дружная семья.,251
У меня есть жена.,252
Мне нравятся песни Круга,253
Моё хобби кулинария.,254
Я замужем.,255
Я занимаюсь с ребенком,256
Играю в хоккей.,257
Мне 20 лет,258
У меня зеленые глаза.,259
вегетарианка.,260
Я люблю музыку,261
Я люблю капусту.,262
У меня есть брат и сестра,263
Меня интересуют автомобили.,264
Я люблю своего брата.,265
Мечтаю водить машину.,266
Я егерь,267
У меня есть сын,268
Я вышла замуж,269
Я хожу в музеи,270
Я ветеринар,271
Люблю долгие прогулки,272
У меня четыре кошки.,273
Я люблю кошек,274
Мне 16 лет,275
Люблю водить машину,276
Я люблю гулять.,277
У меня есть младший брат.,278
Разбираюсь в модных прическах.,279
мне 30 лет.,280
Читаю романы.,281
Я знаю много стихотворений,282
Я была замужем,283
Разбиваю головой кирпичи,284
Я врач.,285
У меня аллергия на кошек,286
Мне нравятся цветы.,287
У меня есть образование.,288
Без высшего образования,289
я хорошо готовлю,290
Я люблю грузинскую кухню,291
У меня две дочери,292
Люблю стрельбу из лука.,293
Мне нравиться снег.,294
У меня есть семья.,295
Мне 27 лет,296
любимый фильм - Сумерки.,297
Я люблю книги.,298
У меня семь детей,299
Я замужем,300
я работаю поваром,301
Люблю животных,302
У меня две собаки,303
Я играю на гитаре,304
У меня большая семья.,305
Я холост.,306
Я отдыхаю в Хургаде.,307
мне 19 лет,308
Я женат. есть сын.,309
Я мечтаю о машине,310
Мать двоих детей.,311
Моё хобби вышивание.,312
Люблю кататься по городам.,313
я люблю играть в домино,314
Уеду жить в Москву.,315
Пеку пироги,316
У меня есть любимая дача.,317
У меня лучшая жена.,318
Имею много родственников,319
Я ездил в Китай,320
Я люблю рэп.,321
Я учусь в школе,322
Я работала всю жизнь.,323
У меня два брата.,324
я врач,325
у меня пять дочек,326
Женат. У меня 3 детей.,327
У меня пятилетняя дочь,328
Мне 20.,329
Я люблю свою жену,330
не ем сладкое,331
Я был женат трижды,332
У моей сестры муж слепой.,333
Люблю шоппинг.,334
Я умею вязать,335
Я механизатор,336
Имею гитару.,337
Люблю Хаски,338
Люблю свою жену.,339
я не люблю читать,340
Я недавно переехал.,341
Я учительница математики.,342
Я люблю кошек.,343
Учусь в юридическом колледже,344
Я работаю на заводе.,345
Люблю читать,346
Я играю на гитаре,347
Пою в барах.,348
У меня двое детей,349
я люблю вязать крючком,350
Смотрю вечером телевизор,351
живу в общаге,352
Работаю на свежем воздухе,353
У меня двое детей.,354
Я люблю кошек.,355
Мне 38 лет,356
Я работаю в детском саду.,357
Я мечтал стать врачом,358
Я люблю мужа,359
Я увлекаюсь танцами,360
Я много работаю.,361
я медсестра,362
Я работаю юристом,363
Я пеку пончики,364
У меня муз. образование.,365
мое хобби вышивка крючком,366
Работаю в банке!,367
Я замужем.,368
я изучаю иностранные языки,369
Я люблю биглей,370
Учусь в средней школе.,371
У меня есть собака,372
В куплю машину.,373
Я люблю аниме.,374
Я люблю пельмени,375
Я люблю природу,376
у меня есть две сестры,377
У меня много веснушек.,378
У меня пятеро детей.,379
люблю готовить.,380
Я люблю скорость.,381
Я люблю убираться.,382
Мои родители педагоги,383
Я люблю собак,384
Люблю путешествовать.,385
У меня есть шиншилла,386
у меня есть дочь лет,387
Учусь на инженера,388
Мой кот умер,389
я люблю спорт,390
я люблю кошек,391
Я молодая мама,392
мне 49 лет,393
Отличница.,394
Мне 12 лет.,395
Я люблю спорт,396
Катаюсь на лыжах.,397
Люблю кошек,398
Я каждый день бегаю утром.,399
У меня 2 попугая.,400
У меня есть собака.,401
Работаю по ночам,402
Мне нравится Аниме.,403
Мой сын учится,404
В этом году пойду в школу.,405
У меня много увлечений.,406
Люблю компы.,407
Я люблю бегать,408
Люблю разводить цветы,409
Я люблю купаться,410
Я домохозяйка,411
я не работаю,412
Я живу на 5 этаже.,413
Я люблю путешествия,414
Я не боюсь крови,415
Люблю ухаживать за больными,416
мои любимые уроки биология и химия,417
Я скоро пойду в отпуск,418
У меня есть жена.,419
Я вышла замуж за дворника.,420
Сижу на диете.,421
Я филантроп.,422
Я люблю музыку.,423
У меня есть квартира и автомобиль.,424
У меня есть муж.,425
Я холост.,426
Занимаюсь скрапбукингом.,427
Очень много работаю.,428
У меня есть книжка.,429
Я люблю выпить.,430
Обожаю науку.,431
Я люблю детей.,432
Я люблю дождь.,433
Я учусь на хирурга.,434
У меня чисто в квартире,435
У меня много пациентов.,436
люблю готовить плов.,437
Я соблюдаю диету,438
У меня свой ларек.,439
Я занимаюсь спортом.,440
Учусь в колледже.,441
Я разведен.,442
Люблю вышивать.,443
У меня есть собака.,444
Я езжу к морю,445
У меня есть мотоцикл,446
Я люблю вышивать.,447
Я - сотрудник МЧС,448
В поисках своего принца,449
Я люблю ктелок.,450
У меня двое детей,451
У меня есть парень,452
Люблю зелёный чай.,453
Я люблю путешествовать,454
не ем шпинат,455
Люблю детей.,456
У меня красавица дочка,457
У меня много друзей.,458
Я пишу песни.,459
Я играю на гитаре,460
Я учусь в 7 школе,461
Я люблю детей,462
У меня есть машина,463
Я хочу на море,464
Любимая группа Битлз.,465
мое хобби путешествия,466
Я женился на своей девушке.,467
Я читаю книги.,468
Работаю в цирке,469
Мне 43 года.,470
Люблю вышивать,471
Я живу в городе.,472
прыгаю с парашютом,473
Болтаю без умолку,474
Мне 31 год.,475
Вышла очень рано замуж,476
люблю театры,477
Я ЛЮБЛЮ МОРЕ,478
Я люблю детей,479
Люблю рыбалку,480
люблю петь.,481
Не замужем.,482
Я люблю пирожки,483
мой рост 150 см,484
Люблю много спать.,485
Живу в общежитии,486
Часто езжу в командировки.,487
Мое хобби -автомобили.,488
Я стендап-комик,489
Изучаю испанский.,490
Я сторонник экстрима.,491
У меня есть автомобиль,492
Я люблю готовить,493
Собираю модели.,494
Я диву с мужем.,495
Мне нравятся звёзды.,496
У меня нет денег,497
Я люблю музыку.,498
Я холост.,499
Я хорошо рисую,500
У меня двое детей.,501
Люблю рыбалку.,502
Езжу на мотоцикле.,503
"У меня есть и мама, и папа",504
Я очень высокий.,505
Я не курю.,506
Люблю красиво одеваться,507
Я люблю детей.,508
У меня высшее образование,509
Люблю своих учеников,510
Я женат,511
У меня семья,512
люблю детективы,513
Я живу в Москве.,514
мой сын учится в гимназии,515
Я люблю море,516
я люблю читать,517
Я вышла замуж в институте,518
Я живу в Москве,519
Я очень спортивная,520
У меня есть кот,521
Мне 17 лет,522
Мне 36 лет,523
я люблю мороженое,524
У меня есть библиотека.,525
я хожу в секс шоп,526
У меня большой кот,527
Люблю свою работу.,528
Я собираюсь завести собаку.,529
У меня есть собака,530
я живу на 11 этаже,531
Не смотрел фильм Титаник,532
Люблю книги.,533
Я работаю на фирме.,534
У меня большая семья.,535
У меня 7 детей.,536
Я вяжу крючком.,537
Я не люблю толпу.,538
У меня длинные волосы,539
нравится европейская кухня,540
У меня есть бульдог,541
У меня всё есть,542
Я люблю читать.,543
Я люблю море.,544
"Есть жена и два пацана,",545
Я хожу в походы,546
Я поклонник Ван Гога.,547
Люблю смотреть фильмы.,548
люблю походы,549
У меня есть муж,550
Я особенный - страдаю дислексией.,551
Я замужем.,552
Езжу по выходным на рыбалку.,553
У меня есть сестра.,554
У меня есть зарплата.,555
Я люблю охоту.,556
Я люблю готовить.,557
Я люблю спорт.,558
Я шатенка,559
люблю готовить,560
Я люблю лыжи,561
"Доходы, активы.",562
Я соревнуюсь,563
Я люблю печь.,564
У меня два пуделя.,565
Я часто сижу дома,566
У меня есть попугай.,567
у меня нет девушки.,568
Закончила ВГИК.,569
не работаю,570
у меня собака и кошка,571
У меня есть мечта.,572
я работаю в семинарии,573
Я обожаю детей,574
У меня семеро козлят.,575
Я не ем мясо,576
Я не пью кофе.,577
Я люблю читать,578
Меня увлекает конный спорт,579
Я люблю машины,580
У меня три кота,581
Глаза голубые,582
Я играю в футбол,583
Не ем сало,584
Вкусно готовлю.,585
Я куплю кошку.,586
Я женат.,587
Люблю вареники,588
Я читаю,589
Я люблю рисовать.,590
Я люблю роллы.,591
У меня две кошки,592
Я люблю слушать музыку.,593
Я люблю читать.,594
Читаю много книг.,595
Я мечтаю отдохнуть на Мальдивах.,596
Люблю моду.,597
У меня есть аквариум.,598
Ненавижу лето.,599
Спорт - это жизнь,600
я рыбак,601
Я люблю рыбок.,602
Я люблю науку.,603
Я не работаю,604
Я люблю японскую кухню.,605
Люблю собак,606
Я люблю рыбачить.,607
Я живу в деревне.,608
Я натурал.,609
Я люблю ходить в баню.,610
Люблю вкусно поесть.,611
Развожу муравьёв.,612
Я домохозяйка.,613
Я люблю свою работу.,614
Люблю природу,615
Я умею шить,616
я часто хожу в театры,617
Слушаю джаз,618
У меня есть брат,619
Я люблю животных,620
Я играю в волейбол.,621
Мои дети совершеннолетние,622
Я люблю смотреть аниме.,623
Я ЖЕНЮСЬ НА ОДНОКУРСНИЦЕ,624
Я люблю ходить в кино.,625
Меня любят больные,626
Рисую комиксы.,627
Люблю вышивать лентами.,628
Я не люблю музыку.,629
Мне нравится играть в ГТА,630
я играю в хоккей,631
Имею автомобиль.,632
Я женился рано,633
у меня своя фирма,634
Очень активная.,635
Я живу одна.,636
Я лежала в больнице.,637
Жду ребенка,638
У меня есть компьютер,639
Люблю фитнес,640
у меня мало свободного времени,641
Работаю тренером.,642
Люблю мотоциклы,643
Я люблю клубнику,644
У меня двое детей,645
Я два метра ростом.,646
У меня 3 детей.,647
Мне 45 лет.,648
У меня четверо детей,649
Мне 20 лет.,650
я не ем сало,651
Мне 59 лет.,652
Люблю путешествовать.,653
Я люблю вязание.,654
Я люблю утро.,655
Я живу в деревне,656
У меня есть сын.,657
я ещё не замужем,658
я купил новую машину,659
Я в разводе,660
У меня двое детей.,661
Пишу статьи для журнала,662
я много хожу пешком,663
Люблю своих детей.,664
Люблю ходить в театр.,665
Слушаю метал.,666
Много читаю.,667
Я люблю варить кофе.,668
Я люблю детей,669
У меня много домашних зверьков,670
Не женат,671
Я люблю комедии.,672
Я хорошо готовлю.,673
Не замужем,674
Плохо лажу с животными,675
у меня есть аквариум,676
Я учусь играть на гитаре.,677
люблю играть в машинки,678
Я люблю свою работу.,679
Мы ходим в школу и садик,680
Я работаю продавцом,681
Много путешествую.,682
Я люблю небо,683
У меня высшее образование,684
Очень люблю командировки,685
Люблю одуванчики,686
Отвращение к российскому сыру,687
Люблю играть в футбол,688
Люблю проводить время на конной ферме.,689
У меня много подписчиков.,690
Рассказываю про ПП,691
У меня куча кредитов,692
Мне нравиться отдыхать.,693
Я люблю рисовать.,694
дети уже выросли,695
Я умею плавать.,696
у меня муж,697
Я хожу в бассейн,698
Я люблю животных.,699
мечтаю прыгнуть с парашютом,700
слушаю тяжелый рок,701
Сегодня весь день буду загорать.,702
у меня есть брат,703
Я купил крокодила.,704
Я вишла замуж за однокласника,705
Я была на море,706
Я программист,707
Я люблю есть пироги,708
Воспитываю внуков,709
Люблю гитары,710
очень люблю заниматься спортом,711
Живу в Самаре,712
Переехал в деревню.,713
Обожаю читать.,714
У меня есть велосипед,715
Я обожаю общение,716
Я юрист.,717
Я хочу двоих детей.,718
Я недавно женился,719
Веселая девушка.,720
Я не люблю Баха,721
я прыгаю с парашютом,722
я окончила вуз с отличием,723
Мое хобби - выпечка.,724
Я живу один.,725
Я люблю Вести.,726
Я состою в профсоюзе.,727
У меня двое сыновей.,728
Хочу стать сером.,729
Я учусь в институте.,730
Я байкер,731
Я люблю красивый маникюр.,732
Получил премию кондитер года.,733
Я увлекаюсь пением.,734
Я люблю книги.,735
Делаю собственную мебель,736
у меня есть сестра-близнец,737
Я суеверна,738
Я очень любознательная.,739
Недавно развелась.,740
Веду здоровый образ жизни,741
Имею свою квартиру,742
Я люблю пиццу.,743
Не отказываю в помощи людям,744
В разводе,745
У меня нет почки.,746
Я учительница,747
Я люблю готовить,748
Я не женат.,749
Есть жена Ариэль.,750
Я женат уже 5 лет,751
У меня есть двое детей,752
У меня 4 ребенка.,753
я люблю плавать,754
Занимаюсь бодибилдингом.,755
мой сын в армии,756
Люблю читать и рисовать.,757
Есть семья,758
Я на пенсии.,759
Я очень люблю своих внуков,760
не курю,761
Я люблю читать.,762
.Люблю собирать грибы.,763
Я люблю заниматься строительством,764
Учусь в школе,765
Мне нравится гулять.,766
Я много путешествую.,767
Болеем за Лазарева,768
Мне нравится учиться.,769
Я люблю путешествовать.,770
Люди избегают меня.,771
Люблю животных,772
Прыгал с парашютом,773
Я умею летать.,774
Люблю неординарное кино.,775
работаю курьером,776
И теперь покоряю столицу,777
"У меня три сына, муж .",778
Я не умею готовить,779
Я мама двоих детей,780
Живу в Испании.,781
Я фанат узбекской кухни.,782
Женат.,783
Я очень люблю рыбалку,784
Я люблю сладкое.,785
я веду ЗОЖ,786
Я занимаюсь трайблом.,787
Я люблю рок-музыку,788
Я каратист.,789
Мне 45 лет.,790
Женат на приятельнице.,791
Я замужем.,792
Я хочу похудеть.,793
У меня два попугая.,794
Я живу в городе.,795
Слушаю джаз.,796
Люблю путешествовать.,797
Я работаю косметологом,798
У меня пятеро детей,799
Я люблю играть в телефон,800
Я люблю шапки.,801
У меня есть девушка.,802
Я люблю животных.,803
работаю в магазине,804
Я увлекаюсь танцами.,805
люблю вкусную еду,806
Работаю с книгами.,807
Работаю в клубе,808
У меня внедорожник.,809
Я слушаю песни 70-х.,810
я умею готовит,811
Я живу в мегаполисе.,812
У меня есть дети.,813
Работаю курьером,814
Я не люблю готовить..,815
Я люблю мультфильмы.,816
Увлекаюсь плаванием.,817
Я работаю в отеле.,818
У меня есть собака.,819
Люблю слушать рок.,820
Вышла замуж после школы.,821
Я люблю петь,822
Я люблю делать добро,823
Мне 23 года,824
Много читаю,825
Его зовут мальчики.,826
Я езжу на байке.,827
Я пеку торты,828
люблю готовить,829
Люблю велосипед.,830
я люблю рыбалку,831
Мне 35 лет.,832
я холостой,833
Пока не женат.,834
Играю на фортепиано,835
Я люблю собак.,836
я люблю собирать ягоды,837
У меня есть сын,838
У меня есть тату,839
Я мечтаю стать депутатом.,840
Я люблю красный цвет.,841
Я преподаватель.,842
Люблю спать.,843
Есть кот.,844
Работаю клоуном.,845
Люблю мясо на гриле.,846
У меня есть дети.,847
Я люблю рыбалку,848
У меня есть кот.,849
У меня хорошая жена,850
Люблю рэп.,851
Я люблю помогать людям.,852
Я хочу завести собаку,853
Я живу в мегаполисе.,854
Окончил институт,855
Я дизайнер,856
у меня есть кошечка .,857
у меня есть кот,858
Я люблю рыбалку.,859
я живу в мегаполисе,860
У меня сын,861
У меня есть шрам,862
У меня нет детей.,863
Никогда не была замужем,864
У меня две собаки.,865
Я воспитываю троих детей.,866
бегаю,867
люблю сладкое.,868
я люблю физику,869
У меня есть брат,870
Я умею петь.,871
Часто летаю на отпуск.,872
Люблю детей,873
Я люблю выступать.,874
Люблю детей,875
Я знаю английский язык,876
Я учусь в 6-ом классе,877
Хочу стать нейрохирургом,878
Я не пью.,879
У меня четверо детей,880
я учусь в медицинском институте,881
Мне 50 лет,882
Увлекаюсь фотографией,883
Я люблю сериалы,884
Моему сыну 10 лет.,885
У меня 3 детей.,886
Я люблю биатлон.,887
Я занимаюсь фитнесом,888
Мне 45 лет,889
люблю чистоту,890
Мечтаю научиться готовить,891
Я ношу очки.,892
Я люблю бегать,893
Изучаю латынь.,894
Прекрасно вяжу.,895
Я мечтаю стать космонавтом.,896
Подрабатываю грузчиком,897
Я снимался в кино,898
Я помогаю онкологически больным детям,899
Люблю есть пиццу,900
У меня есть муж и ребенок,901
Я живу на пятом этаже.,902
Люблю животных.,903
У меня есть жена и сын.,904
Я учусь в институте,905
Люблю путешествовать.,906
Я учусь в МГИМО.,907
Я люблю свой коллектив,908
собираю вазочки,909
Я люблю детей.,910
Я учусь в колледже.,911
У меня много поклонников,912
выхожу замуж.,913
У меня есть улитка.,914
Собираю яблоки,915
Я люблю готовить.,916
Я не замужем.,917
Люблю рано вставать.,918
Люблю биологию.,919
У меня есть жена.,920
Я люблю музыку.,921
У меня есть хомяк.,922
я играю в театре,923
Я не люблю свою профессию.,924
У меня была жена,925
Я люблю фильмы о войне.,926
У меня есть брат.,927
Я скорпион,928
Люблю сказки.,929
Занимаюсь танцами.,930
Хочу похудеть.,931
Я работаю в больнице.,932
Играю в группе.,933
Я люблю готовить.,934
Люблю кошек.,935
У меня есть 5 сестер.,936
Мне 18 лет.,937
Нравится гулять,938
Есть сын и дочь,939
В школе был двоечником,940
Я исколесил всю страну.,941
Я доверчивая.,942
Живу в городе,943
Я люблю спорт.,944
Работаю в интернете.,945
Хочу ездить на мотоцикле,946
Я люблю рок.,947
У меня есть три дочки,948
Люблю черный кофе.,949
Я люблю рок музыку,950
У меня вьющиеся волосы.,951
Хочу сменить пол,952
Я живу в деревне,953
я люблю свою работу,954
Люблю встречаться с друзьями,955
У меня есть машина,956
Учусь в школе.,957
обожаю группу Ленинград,958
Я люблю квас.,959
Обожаю томаты.,960
Хожу в школу,961
я люблю рисовать,962
Вышла замуж за рокера,963
Я активна,964
Люблю печеньки и чай,965
Я люблю погулять.,966
Мне 21 год.,967
У меня есть домик за городом.,968
Я не работаю.,969
Хожу в зал.,970
Люблю спорт.,971
Хочу в Австралию,972
Я таксист.,973
У меня муж и двое детей.,974
Мой муж охранник.,975
В прошлом году развелся.,976
У меня белые кеды,977
Мечтаю уехать в США,978
Хотела стать космонавтом.,979
Я люблю собак,980
Мне нравится фэнтези.,981
У меня есть девушка.,982
Нравится вязать.,983
У меня есть кот.,984
У меня трое племянников.,985
Я люблю свою работу,986
работаю в поликлинике,987
Я люблю мультики.,988
Мне нравится пение.,989
я не люблю радио,990
Программист.,991
У меня есть брат,992
вдовец,993
У меня есть тайская кошка.,994
Женат на кондукторше.,995
Я женился на своей соседке.,996
Считаюсь мечтателем.,997
Обожаю кошек,998
Я умею шевелить ушами,999
Я вегетарианец.,1000
читаю детективы,1001
Собираю марки,1002
Имею свой заработок.,1003
Люблю собак.,1004
Люблю детей.,1005
Я работаю в автосалоне,1006
"Я женат, двое детей.",1007
Занимаюсь дизайном.,1008
Я домохозяйка в разводе,1009
я работаю на хорошей работе,1010
люблю готовить,1011
У меня двое детей.,1012
У меня двое детей,1013
Люблю вышивать.,1014
У меня две дочери,1015
Я живу в поселке Куеда.,1016
У меня есть муж и двое деток.,1017
Я водитель.,1018
Я хочу на море.,1019
3 года назад вышла замуж,1020
Люблю вышивать.,1021
Я мечтаю стать известным.,1022
У меня есть сын,1023
Я мечтаю открыть свою фабрику,1024
Я волонтер,1025
люблю гулять,1026
Люблю сухофрукты.,1027
окончила колледж на отлично,1028
Люблю цветоводство,1029
У меня дочка,1030
Обожаю лошадей.,1031
Я умею петь,1032
Я имею друзей.,1033
я люблю путешествовать,1034
Я цветовод.,1035
Люблю смотреть сериалы,1036
У меня много поклонников.,1037
Мне 20 лет.,1038
У меня есть хаски.,1039
Я учусь в университете,1040
люблю готовить,1041
Я люблю любить.,1042
Я люблю путешествия.,1043
У меня есть жена и два сына.,1044
Я занимаюсь йогой,1045
У меня пятеро детей,1046
Удачно нашёл работу,1047
Живу под Брянском,1048
Я готовлю мороженое.,1049
Я учусь в школе.,1050
Я не знаю английский язык,1051
Люблю приключения.,1052
Женился во второй раз.,1053
Я катаюсь на коньках.,1054
Я хорошо учусь,1055
Я люблю шить,1056
У две умницы дочки и красавица жена.,1057
У меня 4 детей.,1058
Удачно вышла замуж,1059
У меня есть девушка.,1060
я люблю песни группы Ленинград,1061
У меня есть сын.,1062
люблю рок-музыку.,1063
У меня есть кот.,1064
"Я люблю моду, красивые наряды.",1065
устал от работы,1066
Я занимаюсь волейболом,1067
Я имею хозяйство,1068
я очень ленив,1069
Люблю рыбалку.,1070
Я люблю поездки,1071
Я мечтаю написать книгу,1072
у меня есть 3 кота,1073
У меня три кота.,1074
Люблю животных.,1075
Моя кошка хочет есть,1076
люблю выступать,1077
Мечтаю посетить Барселону,1078
Работаю официантом,1079
Лайфхаки для чистоты дома,1080
Я люблю читать.,1081
Летал 200 раз на самолете.,1082
У меня есть кошки и собаки.,1083
Побывал в 20 странах,1084
Хочу поехать в Японию.,1085
Я ненавижу воду.,1086
Мне 17 лет.,1087
у меня нет второй половинки,1088
Я люблю рыбалку.,1089
Люблю поэзию,1090
Обожаю свою работу.,1091
у меня двое детей,1092
Я женат на сестре.,1093
Живу один.,1094
Я хожу в походы.,1095
У меня есть машина,1096
Я люблю свой город,1097
Я хожу в кроссовках,1098
Я ищу хорошую работу.,1099
Я строгий.,1100
Я в браке с киноактером,1101
Много зарабатываю,1102
я блогер,1103
У меня есть дети,1104
Я очень люблю рыбок,1105
Мне нравится девчонка.,1106
Я работаю в музее,1107
Мне пятьдесят лет,1108
я люблю украинскую кухню,1109
Я люблю готовить.,1110
Меня зовут Василий,1111
У меня есть две собаки .,1112
Есть жена Юлия.,1113
Увлекаюсь велоспортом.,1114
У меня два ребенка,1115
Прогулки мой конек,1116
я амбициозна,1117
Мне 10 лет,1118
у меня есть девушка,1119
люблю готовить.,1120
Люблю прогулки в тишине,1121
Я умею играть на гитаре.,1122
Люблю играть на гитаре.,1123
У меня есть кот.,1124
У меня серый пиджак.,1125
я люблю поспать,1126
Не люблю осень,1127
Не люблю кофе,1128
Также занимаюсь спортом,1129
Я ношу очки.,1130
Счастливо женат.,1131
Холост.,1132
Я люблю путешествовать,1133
Я в разводе.,1134
Замужем по большой любви!,1135
у меня дружная семья.,1136
У меня четыре кошки.,1137
Я была на Таити.,1138
"Женат, есть дочь..",1139
Я фанат рока.,1140
Я слежу за порядком,1141
У меня большая семья,1142
Люблю горы.,1143
люблю плавать,1144
У меня есть внедорожник,1145
Я люблю детей.,1146
занимаюсь нумерологией,1147
У меня хороший телефон.,1148
Я художница.,1149
Люблю технологии.,1150
Творческий человек,1151
У меня два брата,1152
